# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
3228126190,-27.0544,40.8401,16.2103
3228225516,-26.6557,39.9745,13.1683
3228325694,-26.7573,38.7973,14.3357
3228425921,-27.8167,41.1624,14.9154
3228527348,-26.2838,40.8785,13.7745
3228627869,-26.4399,39.7773,12.8828
3228727288,-26.7474,40.4501,13.6604
3228827616,-26.0396,41.1594,14.3589
3228927276,-24.9969,40.573,15.4575
3229027290,-26.1513,40.065,12.3357
3229127807,-26.0282,40.6029,15.9253
3229227296,-26.692,40.5195,13.9489
3229327382,-25.9109,40.4752,14.6954
3229427630,-27.1989,40.6352,14.7914
3229527948,-26.4515,39.2862,15.0141
3229627354,-26.082,40.3962,15.6302
3229727297,-26.1369,40.0439,17.114
3229827695,-26.0904,40.4637,15.8262
3229927919,-27.065,40.0893,14.9585
3230028256,-26.4008,40.387,15.1592
3230128424,-26.0086,40.5981,17.1409
3230229073,-25.9177,40.1912,16.6522
3230329103,-26.9472,41.1314,13.4157
3230428258,-25.6265,40.487,14.3279
3230528580,-26.0688,40.7499,13.4923
3230629233,-26.8467,40.7104,16.1124
3230729409,-26.2322,39.4335,14.5523
3230829644,-26.6158,39.4911,13.9921
3230929804,-26.0544,39.7045,16.8213
3231031273,-26.9448,39.8777,17.1035
3231131386,-26.486,40.5273,13.8577
3231233366,-26.706,41.473,15.7721
3231333879,-27.0559,39.3338,14.9223
3231433368,-27.116,41.2514,15.9531
3231533565,-26.935,40.2921,16.7461
3231634229,-25.5561,41.1779,14.0762
3231734610,-25.8187,40.9552,15.6578
3231835028,-28.9623,40.709,14.9824
3231938163,-26.0297,40.3352,14.3194
3232038699,-27.7279,39.7231,14.7461
3232139197,-27.7707,40.4125,13.9405
3232238859,-26.4543,41.7551,16.1637
3232338759,-26.9327,40.7053,16.5815
3232440535,-26.7428,39.6096,17.1835
3232540583,-26.3917,39.6314,15.123
3232640674,-26.6544,39.6229,14.9374
3232740227,-26.9618,39.0572,16.0328
3232841292,-25.8525,41.2942,16.4285
3232941610,-27.0142,40.5709,15.2584
3233042174,-26.2233,39.2972,14.3613
3233141930,-27.2223,39.867,17.295
3233242811,-25.9979,41.158,15.013
3233342604,-27.8678,39.106,13.3158
3233442928,-27.0911,39.1909,15.8544
3233543296,-27.239,39.2607,14.4487
3233643811,-26.592,39.3571,13.424
3233743557,-26.6323,40.8648,14.0579
3233843777,-26.2167,38.7478,14.335
3233944245,-26.7444,39.9612,15.4228
3234044559,-25.6133,39.1739,16.0426
3234144769,-27.059,38.9893,15.0902
3234245325,-27.0156,39.0646,13.9704
3234345405,-27.6496,40.9657,14.1519
3234445634,-27.0093,39.5395,15.4018
3234545893,-25.7158,40.5424,16.5774
3234645236,-27.3524,38.7087,14.0446
3234745345,-26.7992,39.2038,15.2941
3234846053,-26.8532,40.8548,14.5263
3234945758,-26.3921,40.6558,16.5807
3235045331,-25.955,40.0635,14.206
3235146293,-26.625,40.8659,13.8735
3235246294,-27.2203,38.7053,15.8307
3235346560,-26.6259,40.9346,13.8768
3235447311,-27.2924,39.1761,17.5384
3235548308,-25.4604,40.764,15.1802
3235648235,-26.2204,40.0468,15.8059
3235748920,-27.1237,40.2947,14.6831
3235848539,-26.6945,40.7256,13.9588
3235948412,-25.9845,40.6783,14.7972
3236049272,-27.3032,41.5217,15.496
3236149548,-25.5813,38.353,15.4415
3236254743,-25.4988,39.2521,14.8309
3236354391,-26.1091,41.0191,14.4442
3236455284,-25.6954,39.8496,17.9528
3236555441,-27.6441,40.0565,17.6717
3236655982,-27.1837,39.7352,16.3497
3236755766,-27.1984,40.3522,16.5637
3236855834,-26.4925,39.624,15.9692
3236955470,-26.0321,39.0886,16.4145
3237056372,-27.5834,39.928,16.1649
3237156954,-28.0118,39.6426,15.1186
3237256349,-25.0841,39.4667,16.2427
3237356784,-25.7197,40.4807,14.9813
3237457031,-25.8447,39.6517,14.9412
3237557067,-25.615,40.5498,15.7312
3237656473,-26.9765,39.6743,16.2468
3237757202,-26.1417,41.5036,13.436
3237857893,-26.95,42.1476,16.6506
3237957717,-25.7279,41.7868,14.8511
3238058006,-26.5294,40.4519,14.9775
3238157598,-26.1035,42.1819,15.7157
3238258086,-26.4093,41.693,15.0374
3238357633,-26.0574,40.1934,15.0588
3238457529,-26.3643,41.4168,15.6782
3238557247,-26.3277,42.4467,16.1973
3238657626,-25.3241,42.4892,14.7015
3238757485,-27.032,42.4183,16.9484
3238857363,-26.1553,42.1742,17.0316
3238958323,-24.8244,41.1339,14.3614
3239058531,-25.6104,41.3762,15.4019
3239158958,-26.6876,41.5368,16.9994
3239258881,-25.3533,42.0797,13.835
3239358265,-26.4779,40.0313,17.2045
3239458650,-25.5451,41.6457,17.1003
3239559124,-25.7666,41.2994,15.9595
3239659106,-25.3803,41.2499,14.7342
3239759290,-25.1669,39.806,16.5438
3239859619,-26.155,42.3884,15.2559
3239960067,-26.3661,40.9349,15.848
3240059330,-25.8123,41.025,15.4767
