# t_us, static pressure [Pa]
5440128707,101039.562500
5440168796,101039.750000
5440209302,101039.796875
5440249705,101040.515625
5440289362,101040.937500
5440331592,101040.421875
5440371366,101040.218750
5440411282,101040.656250
5440451382,101040.343750
5440491730,101040.250000
5440531745,101039.671875
5440571286,101040.062500
5440611759,101039.703125
5440651952,101040.562500
5440691107,101040.171875
5440731964,101040.359375
5440771401,101039.656250
5440811323,101039.609375
5440851456,101040.015625
5440891764,101040.484375
5440931707,101040.281250
5440971535,101039.687500
5441011393,101040.656250
5441051574,101039.765625
5441091897,101039.875000
5441131028,101039.390625
5441171331,101040.578125
5441211690,101039.171875
5441251605,101039.656250
5441291015,101039.984375
5441331855,101039.187500
5441371561,101039.828125
5441412027,101039.921875
5441452024,101039.812500
5441492514,101040.250000
5441532093,101040.015625
5441572296,101039.406250
5441612210,101040.265625
5441652402,101040.406250
5441692959,101039.843750
5441732679,101039.906250
5441775408,101040.312500
5441815013,101039.890625
5441856108,101040.015625
5441896681,101039.390625
5441936449,101040.296875
5441976181,101039.625000
5442016393,101039.562500
5442056366,101039.328125
5442096652,101039.046875
5442140082,101039.484375
5442180162,101040.375000
5442221325,101040.421875
5442262037,101039.687500
5442306178,101040.250000
5442346636,101039.937500
5442386480,101039.265625
5442426123,101039.468750
5442466614,101039.343750
5442506504,101039.515625
5442546034,101039.640625
5442586783,101039.765625
5442626953,101039.578125
5442666337,101039.562500
5442706192,101039.609375
5442746049,101039.484375
5442786008,101039.875000
5442826807,101039.468750
5442869093,101039.687500
5442909812,101039.515625
5442949376,101039.843750
5442989031,101039.062500
5443029325,101039.375000
5443069029,101039.812500
5443109714,101039.750000
5443149347,101040.296875
5443189616,101040.031250
5443230134,101040.093750
5443270998,101039.171875
5443310518,101039.843750
5443350153,101039.343750
5443390037,101039.468750
5443430439,101039.812500
5443470309,101039.625000
5443511002,101039.703125
5443551903,101039.781250
5443591123,101039.703125
5443634929,101039.265625
5443674435,101040.281250
5443716250,101039.625000
5443756208,101039.484375
5443796402,101039.546875
5443836617,101039.625000
5443876326,101040.531250
5443916973,101039.531250
5443956266,101040.125000
5443996433,101039.968750
5444036963,101040.046875
5444076699,101039.046875
5444117354,101039.812500
5444157735,101039.468750
5444201568,101039.515625
5444241933,101039.203125
5444281251,101038.578125
5444321726,101039.640625
5444361858,101039.625000
5444401463,101039.500000
5444441238,101039.671875
5444481224,101039.171875
5444522030,101038.765625
5444562763,101039.031250
5444603165,101039.468750
5444643212,101039.453125
5444683549,101039.796875
5444723053,101039.703125
5444763560,101039.187500
5444803417,101038.625000
5444843422,101039.593750
5444883486,101039.281250
5444923285,101039.125000
5444963091,101039.343750
5445003974,101039.093750
5445044063,101039.062500
5445084064,101038.937500
5445124703,101038.328125
5445166148,101039.031250
5445206809,101039.234375
5445246287,101039.171875
5445286644,101039.453125
5445327148,101040.234375
5445367865,101038.921875
5445407897,101039.156250
5445447591,101039.406250
5445487814,101039.078125
5445527440,101040.046875
5445567211,101039.828125
5445608166,101039.609375
5445648339,101039.203125
5445688576,101039.265625
5445733675,101039.218750
5445773458,101039.390625
5445813707,101040.062500
5445854041,101039.171875
5445897016,101039.000000
5445937265,101040.109375
5445977358,101039.531250
5446017308,101038.796875
5446057040,101039.015625
5446097618,101038.546875
5446137618,101039.250000
5446177506,101039.343750
5446217812,101039.140625
5446260335,101039.359375
5446300905,101038.656250
5446341341,101039.953125
5446381099,101039.531250
5446421398,101039.421875
5446461546,101039.062500
5446501185,101039.234375
5446541371,101039.359375
5446581449,101038.734375
5446621764,101039.109375
5446662911,101039.328125
5446702080,101039.031250
5446742857,101039.562500
5446782411,101038.937500
5446822047,101039.203125
5446862033,101039.453125
5446902434,101039.171875
5446943185,101039.390625
5446983717,101039.250000
5447023935,101038.984375
5447063841,101038.625000
5447103208,101039.250000
5447143803,101038.718750
5447183373,101039.296875
5447223303,101039.359375
5447264567,101039.546875
5447305083,101039.093750
5447345476,101038.937500
5447385589,101039.187500
5447425465,101039.718750
5447465658,101039.296875
5447505335,101039.390625
5447545406,101039.250000
5447585852,101039.531250
5447625702,101038.468750
5447665309,101039.312500
5447706165,101039.375000
5447746297,101038.671875
5447786293,101038.828125
5447826391,101039.328125
5447866334,101038.875000
5447906715,101038.968750
5447946095,101038.734375
5447986313,101038.859375
5448026761,101039.234375
5448066370,101040.140625
5448106015,101039.671875
5448146747,101039.187500
5448186278,101039.593750
5448229869,101038.140625
5448269555,101039.312500
5448309227,101039.171875
5448349605,101038.437500
5448389299,101038.796875
5448430716,101038.796875
5448470836,101038.750000
5448510226,101039.046875
5448550504,101038.656250
5448593004,101039.156250
5448633050,101039.031250
5448674097,101038.468750
5448714431,101039.546875
5448756922,101038.703125
5448796114,101039.250000
5448836655,101038.421875
5448876228,101038.781250
5448917122,101038.046875
5448957604,101038.578125
5448997956,101039.156250
5449037283,101038.468750
5449078095,101039.453125
5449118400,101038.281250
5449158305,101038.734375
5449198006,101038.328125
5449238145,101039.000000
5449278262,101038.500000
5449322301,101038.593750
5449362366,101038.546875
5449402313,101038.921875
5449442861,101038.156250
5449483895,101039.031250
5449523447,101038.531250
5449563168,101038.796875
5449603124,101038.156250
5449643638,101038.531250
5449684488,101038.531250
5449724049,101038.312500
5449764879,101038.562500
5449804866,101038.843750
5449844170,101037.703125
5449889513,101039.171875
5449929164,101039.062500
5449969080,101038.562500
5450009766,101038.531250
5450049968,101038.625000
5450090289,101039.078125
5450130986,101038.328125
5450170335,101038.203125
5450210688,101038.359375
5450253657,101038.578125
5450294187,101038.218750
5450334274,101039.250000
5450374521,101039.328125
5450414257,101038.375000
5450454817,101038.562500
5450495058,101038.312500
5450535083,101038.093750
5450575432,101038.421875
5450616821,101038.625000
5450656076,101038.890625
5450696490,101038.468750
5450736844,101038.421875
5450776776,101037.828125
5450816054,101039.031250
5450856465,101039.359375
5450896874,101038.375000
5450936122,101038.687500
5450976558,101039.265625
5451016657,101038.937500
5451056940,101039.031250
5451096920,101039.171875
5451137068,101038.640625
5451179453,101038.953125
5451219121,101038.609375
5451259945,101039.015625
5451300001,101038.968750
5451341054,101039.937500
5451381052,101039.281250
5451421776,101039.984375
5451461345,101040.421875
5451501529,101040.109375
5451545164,101040.140625
5451585979,101039.734375
5451625754,101039.562500
5451665580,101039.453125
5451705536,101039.515625
5451745003,101038.250000
5451785089,101037.296875
5451826161,101036.781250
5451866799,101036.156250
5451909758,101034.687500
5451949169,101033.765625
5451989340,101033.515625
5452029619,101033.265625
5452069322,101032.468750
5452110127,101032.046875
5452150826,101031.656250
5452190327,101031.984375
5452230662,101032.218750
5452273647,101032.546875
5452313657,101032.750000
5452353755,101032.734375
5452393009,101033.328125
5452433628,101032.750000
5452473839,101033.406250
5452513213,101033.593750
5452553681,101035.031250
5452593248,101034.812500
5452633831,101035.187500
5452674011,101036.421875
5452714305,101037.468750
5452754314,101037.546875
5452794082,101037.562500
5452838126,101038.500000
5452878066,101038.718750
5452918603,101037.859375
5452958890,101039.203125
5452998186,101038.078125
5453038926,101038.578125
5453078914,101038.687500
5453118197,101037.687500
5453158361,101038.343750
5453198570,101038.343750
5453238190,101037.234375
5453278640,101038.000000
5453318962,101037.453125
5453358483,101037.843750
5453401864,101038.234375
5453441369,101037.765625
5453481314,101038.156250
5453521848,101037.640625
5453561760,101037.781250
5453602734,101037.828125
5453642254,101037.921875
5453682167,101037.859375
5453722691,101037.656250
5453762141,101037.859375
5453803210,101037.875000
5453843778,101038.078125
5453883849,101038.375000
5453923193,101037.156250
5453963083,101038.203125
5454004030,101037.750000
5454044622,101037.468750
5454084552,101037.265625
5454124894,101037.125000
5454166980,101036.890625
5454206546,101037.421875
5454246093,101036.578125
5454286554,101037.375000
5454326933,101037.859375
5454366859,101037.500000
5454406330,101037.156250
5454446917,101037.203125
5454487063,101037.546875
5454527373,101037.343750
5454567596,101037.750000
5454607434,101037.406250
5454647924,101037.046875
5454688074,101037.625000
5454728714,101037.250000
5454768123,101037.156250
5454808755,101037.406250
5454848292,101037.812500
5454888460,101037.468750
5454928766,101037.703125
5454968215,101037.328125
5455008672,101037.171875
5455049149,101037.203125
5455089304,101037.171875
5455135252,101036.984375
5455175562,101037.453125
5455215288,101037.390625
5455255780,101037.421875
5455295455,101037.531250
5455335540,101037.031250
5455375319,101037.718750
5455415339,101037.312500
5455455165,101037.765625
5455499561,101037.390625
5455539415,101037.437500
5455579312,101036.718750
5455619518,101037.328125
5455659593,101037.296875
5455699364,101037.921875
5455739516,101037.484375
5455779806,101037.656250
5455819362,101037.187500
5455859810,101037.109375
5455899235,101037.578125
5455939360,101037.593750
5455979524,101037.187500
5456020066,101036.812500
5456063190,101037.281250
5456104685,101036.718750
5456144327,101037.140625
5456184774,101037.562500
5456228709,101037.171875
5456268485,101037.546875
5456308523,101037.968750
5456348621,101037.859375
5456388839,101037.484375
5456428263,101037.093750
5456468867,101037.171875
5456508885,101036.890625
5456548952,101038.234375
5456588692,101037.703125
5456628418,101036.906250
5456668719,101037.078125
5456709028,101037.578125
5456749327,101037.687500
5456792152,101037.859375
5456832171,101037.609375
5456872827,101037.609375
5456912156,101037.156250
5456952467,101037.468750
5456993421,101038.234375
5457033416,101036.687500
5457073207,101038.421875
5457113236,101037.812500
5457153071,101037.218750
5457194397,101037.390625
5457234766,101038.359375
5457274990,101037.343750
5457314008,101037.968750
5457355027,101036.859375
5457395147,101037.234375
