# t_us, lat_deg, lon_deg, h_m, cov_pos_ned nn,ne,nd,ee,ed,dd [m^2], vn, ve, vd [m/s], cov_vel_ned nn,ne,nd,ee,ed,dd [(m/s)^2], vel_ok
# GNSS-only passthrough (NAV-PVT + NAV-COV), no RTKLIB post-processing -- see inslib_convert_ubx_to_csv.py
5440128279,48.9598063000,8.4057011000,170.8680,0.002025,0,0,0.002025,0,0.004624,-0.0010,0.0010,0.0160,0.002601,0,0,0.002601,0,0.002601,1
5440327645,48.9598063000,8.4057011000,170.8660,0.002025,0,0,0.002025,0,0.004624,-0.0010,-0.0040,-0.0140,0.003481,0,0,0.003481,0,0.003481,1
5440532026,48.9598063000,8.4057011000,170.8710,0.002025,0,0,0.002025,0,0.004624,-0.0110,0.0030,-0.0150,0.0036,0,0,0.0036,0,0.0036,1
5440727629,48.9598063000,8.4057011000,170.8730,0.002025,0,0,0.002025,0,0.004624,0.0090,0.0030,-0.0140,0.002209,0,0,0.002209,0,0.002209,1
5440928249,48.9598063000,8.4057011000,170.8750,0.002025,0,0,0.002025,0,0.004624,0.0030,0.0080,-0.0100,0.001444,0,0,0.001444,0,0.001444,1
5441130122,48.9598063000,8.4057011000,170.8750,0.002025,0,0,0.002025,0,0.004761,-0.0070,0.0020,0.0090,0.001764,0,0,0.001764,0,0.001764,1
5441326979,48.9598063000,8.4057011000,170.8750,0.002025,0,0,0.002025,0,0.004761,0.0060,-0.0050,0.0030,0.001444,0,0,0.001444,0,0.001444,1
5441527599,48.9598063000,8.4057011000,170.8710,0.002025,0,0,0.002025,0,0.004624,-0.0070,0.0030,0.0160,0.001849,0,0,0.001849,0,0.001849,1
5441725710,48.9598063000,8.4057011000,170.8740,0.002025,0,0,0.002025,0,0.004624,0.0150,0.0090,-0.0140,0.001089,0,0,0.001089,0,0.001089,1
5441927583,48.9598063000,8.4057011000,170.8750,0.002025,0,0,0.002025,0,0.004624,-0.0090,0.0120,-0.0060,0.001156,0,0,0.001156,0,0.001156,1
5442126949,48.9598063000,8.4057011000,170.8760,0.001936,0,0,0.001936,0,0.004624,0.0110,0.0010,0.0020,0.001089,0,0,0.001089,0,0.001089,1
5442326314,48.9598063000,8.4057011000,170.8730,0.001936,0,0,0.001936,0,0.004489,-0.0100,0.0060,-0.0090,0.002116,0,0,0.002116,0,0.002116,1
5442526934,48.9598063000,8.4057011000,170.8730,0.001936,0,0,0.001936,0,0.004489,0.0070,-0.0020,0.0040,0.0016,0,0,0.0016,0,0.0016,1
5442726299,48.9598063000,8.4057011000,170.8720,0.001936,0,0,0.001936,0,0.004489,0.0150,0.0080,0.0180,0.0025,0,0,0.0025,0,0.0025,1
5442925664,48.9598063000,8.4057011000,170.8650,0.001936,0,0,0.001936,0,0.004489,0.0120,0.0030,0.0400,0.003364,0,0,0.003364,0,0.003364,1
5443126284,48.9598063000,8.4057011000,170.8620,0.001936,0,0,0.001936,0,0.004489,0.0130,0.0020,0.0130,0.002601,0,0,0.002601,0,0.002601,1
5443326903,48.9598063000,8.4057011000,170.8590,0.001936,0,0,0.001936,0,0.004489,0.0000,0.0050,-0.0050,0.001849,0,0,0.001849,0,0.001849,1
5443526268,48.9598063000,8.4057011000,170.8600,0.001936,0,0,0.001936,0,0.004489,0.0060,-0.0030,0.0100,0.002809,0,0,0.002809,0,0.002809,1
5443726888,48.9598063000,8.4057011000,170.8560,0.001936,0,0,0.001936,0,0.004489,0.0010,-0.0020,-0.0050,0.000961,0,0,0.000961,0,0.000961,1
5443926253,48.9598063000,8.4057011000,170.8580,0.001936,0,0,0.001936,0,0.004489,-0.0020,0.0010,-0.0020,0.001369,0,0,0.001369,0,0.001369,1
