# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 797 Hz by 4 (inslib_decimate_dataset.py)
5440124518,0,0.000269141117,-0.00185705083,-0.316599678,-0.334506433,-9.80909812,33.975
5440129533,0.00054037193,0.00107656447,-0.00106117191,-0.302254826,-0.334506443,-9.81627328,33.825
5440134549,0.000810557895,0.000269141117,-0.00212234375,-0.312415744,-0.339891122,-9.81268534,33.775
5440139564,-0.0005403719,-0.000538282105,-0.00291822255,-0.307036434,-0.342882604,-9.80670655,33.9
5440144580,-0.00027018595,0.00107656447,-0.00132646488,-0.303450228,-0.333309834,-9.80790249,33.875
5440149595,0.000270185965,0.000269141183,0.000265292977,-0.321381287,-0.337497925,-9.80371702,33.925
5440154611,0.00189130176,0.000538282235,-0.00106117191,-0.310024949,-0.348267293,-9.80252079,33.825
5440159626,-0.000270185935,0.00215312831,-0.000265292977,-0.307634144,-0.34228431,-9.8132833,33.85
5440164642,0.00054037193,0.000269141117,-0.00106117191,-0.318990492,-0.336301336,-9.80969565,33.9
5440169657,0.00108074386,0.000807423352,-0.00106117191,-0.306438733,-0.348267275,-9.80192312,33.9
5440174672,-0.00027018595,0.00053828204,0,-0.314208865,-0.351258776,-9.80311876,33.9
5440179688,0.00054037193,0.000269141183,-0.00132646488,-0.311818051,-0.342882614,-9.80909798,33.875
5440184703,-0.00081055785,6.5e-11,-0.00106117191,-0.315404267,-0.340489417,-9.80371673,33.9
5440189719,0.000270185965,0.000269141117,-0.00159175786,-0.31122036,-0.332113245,-9.80371673,33.925
5440194734,0.00054037193,0.00107656447,-0.00106117191,-0.303450228,-0.341087721,-9.7977375,33.85
5440199750,0,0.00107656447,-0.000795878932,-0.31062265,-0.336301326,-9.80730452,33.95
5440204765,0.000270185965,0.00107656447,0,-0.303450224,-0.327326879,-9.8102942,34.05
5440209781,0.00108074386,0.000269141117,-0.00159175786,-0.307036435,-0.335703032,-9.80012907,33.925
5440214796,0.00108074386,0.00107656447,-0.00132646488,-0.300461723,-0.341686006,-9.8049128,33.85
5440219812,0.000810557897,0.000538282235,-0.00106117191,-0.304047929,-0.33809622,-9.8085006,34
5440224827,0.00054037193,-0.000269141052,-0.00132646488,-0.310024939,-0.343480909,-9.81328374,34.025
5440229843,-0.00027018595,0.000538282235,-0.00159175786,-0.314806575,-0.353651964,-9.80311891,33.875
5440234858,-0.0010807438,0.000538282235,-0.00079587893,-0.311818052,-0.348267284,-9.80132486,34
5440239874,-0.00108074383,0,-0.00159175786,-0.308231836,-0.351258776,-9.80730408,34
5440244889,-0.00027018595,0,-0.00106117191,-0.308829537,-0.344079213,-9.80551048,33.875
5440249905,-0.0005403719,0.000538282235,-0.000795878932,-0.310024939,-0.350660481,-9.80132501,33.85
5440254920,0.000270185965,0.000538282235,-0.00132646488,-0.313013463,-0.343480909,-9.80730452,33.9
5440259936,0.000270185965,0.000269141117,-0.00132646482,-0.310622641,-0.336301335,-9.8031189,34
5440264951,0,0.000807423158,-0.000795878932,-0.299864022,-0.33151496,-9.80371672,33.95
5440269967,-0.00081055785,0.000538282235,-0.00106117191,-0.305841032,-0.348267284,-9.80491266,33.85
