# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
5440212060,-23.4784,20.6078,19.7538
5440311624,-25.1277,21.5701,21.9581
5440411241,-23.5286,21.7012,20.7451
5440512094,-24.5586,21.3795,22.982
5440614320,-23.8521,23.6789,21.5935
5440714757,-23.5393,22.594,20.7879
5440815040,-23.2269,22.7477,19.6727
5440914517,-24.4016,22.6262,22.1032
5441015119,-24.0234,20.7865,21.5466
5441114374,-23.2749,22.0601,19.3545
5441214418,-25.2486,21.6362,21.5836
5441314789,-22.7549,21.2506,20.0719
5441414781,-24.1611,22.8455,21.0831
5441514792,-24.2732,21.9419,22.448
5441614959,-23.4316,22.3883,21.5329
5441714305,-24.4118,21.8755,20.843
5441814977,-23.9182,22.0253,21.9836
5441914671,-23.3614,20.2658,20.2995
5442015191,-24.2701,20.9258,19.2048
5442114951,-24.0137,21.8201,21.0344
5442214973,-23.5319,23.2144,20.4403
5442314837,-23.4248,22.4582,21.3435
5442415282,-24.4055,22.5645,20.5071
5442516234,-22.8313,22.6841,21.6412
5442616411,-25.2387,22.0505,21.2262
5442717073,-24.5965,20.7012,20.6939
5442816243,-22.6233,21.5302,20.0857
5442917257,-24.6072,21.5941,20.7367
5443017616,-23.7739,22.7274,19.8545
5443118364,-23.8143,22.3773,20.9695
5443219335,-24.4486,22.7034,19.8513
5443320344,-24.7648,23.2296,22.6005
5443420721,-24.5758,23.6553,21.1207
5443520842,-23.2562,20.2662,21.0544
5443620654,-23.2366,21.7141,20.1848
5443720373,-24.215,22.0195,20.9511
5443821351,-22.8473,22.4142,20.4041
5443922091,-23.9163,22.1022,20.2014
5444021733,-23.2767,22.8167,19.2063
5444121288,-22.6696,24.1379,20.5878
5444222251,-24.1812,21.6805,20.1803
5444324515,-22.6045,21.8082,19.5373
5444424501,-24.6898,22.1477,19.2621
5444524818,-25.174,20.7452,21.6333
5444624799,-22.8094,23.0925,22.6921
5444725840,-23.0054,23.3082,19.0462
5444825854,-24.1132,22.5775,19.9385
5444926075,-23.7073,22.8595,21.5547
5445025288,-23.1862,22.1956,20.4932
5445127301,-23.6724,20.8083,19.4861
5445227482,-24.7921,21.0391,20.4328
5445335226,-23.5827,21.4943,20.4583
5445435628,-23.6269,22.7262,21.2635
5445535505,-23.2009,22.8126,20.7071
5445635866,-23.7731,22.6587,19.8512
5445736453,-22.931,22.8222,20.7084
5445836734,-25.3743,20.4708,19.9343
5445937206,-23.9183,20.0454,19.0715
5446037324,-23.4353,20.4689,20.4096
5446137579,-23.7722,21.3515,20.1658
5446237892,-24.1305,21.5428,20.6434
5446337621,-23.623,23.0021,21.0922
5446437909,-25.1922,22.2562,21.7057
5446537582,-24.1441,23.666,22.1538
5446637300,-23.705,19.8401,20.5631
5446737885,-25.3406,20.5369,20.776
5446837577,-23.894,21.4863,19.7946
5446938159,-22.9308,22.203,20.8632
5447038298,-24.5384,21.1839,20.8094
5447138915,-24.6452,23.3008,22.9732
5447238822,-24.2142,21.9508,20.9478
5447338408,-22.8511,21.6413,24.1233
5447438643,-25.2997,20.8183,19.6661
5447538373,-25.2835,20.469,21.058
5447638908,-23.9464,20.9279,21.2685
5447739359,-23.9031,22.2418,19.8308
5447839602,-24.1234,20.7104,22.3895
5447939241,-23.3202,21.9079,22.2565
5448039638,-22.1949,21.6014,22.8992
5448140003,-23.3986,22.3322,18.9982
5448239506,-24.8356,22.4165,19.4674
5448340129,-25.4317,20.3246,21.4279
5448439218,-23.5149,23.0106,20.0617
5448540119,-24.2604,21.9593,18.6926
5448640349,-23.0587,22.8185,20.5234
5448740296,-23.8315,21.9618,21.5113
5448840574,-24.6541,22.4128,21.7148
5448940308,-23.7145,22.8584,21.7391
5449041204,-24.2234,20.5122,19.8391
5449141630,-23.6683,21.7034,19.1517
5449241872,-25.5033,20.6045,19.7474
5449341738,-25.9037,21.8216,21.0287
5449441659,-23.0748,21.9293,19.4494
5449541673,-24.3237,22.6989,21.8218
5449641469,-24.91,22.6883,19.5724
5449741357,-24.3184,21.4767,18.5771
5449841803,-22.4568,19.5443,19.7981
5449941830,-23.9316,21.1443,19.1241
5450041649,-24.3852,20.5111,18.8073
5450141263,-25.3573,21.0771,22.7722
5450241397,-24.8402,21.5901,19.7967
5450341578,-22.2747,21.5438,19.8023
5450441654,-24,21.6768,22.4362
5450542391,-23.892,22.9238,21.0877
5450642641,-23.9643,19.5568,20.3643
5450743045,-24.423,20.5742,19.7493
5450843080,-23.604,21.4223,21.0166
5450942245,-25.5582,21.7049,19.146
5451042611,-24.4642,21.5313,20.5496
5451143137,-22.9587,22.6804,21.4478
5451242925,-23.8633,22.3776,20.4998
5451347632,-23.4591,21.8415,20.6598
5451448388,-24.5808,19.6104,18.8641
5451548882,-23.5408,21.0878,19.4999
5451649071,-24.1241,22.6369,21.9117
5451748974,-25.0916,22.8829,20.7047
5451849050,-24.1329,23.8208,18.405
5451949107,-25.1176,21.5793,19.9882
5452048272,-24.0139,19.8401,18.1223
5452148907,-22.729,19.3357,18.1942
5452248461,-21.601,21.0172,19.972
5452348204,-23.5036,23.6926,21.3102
5452449167,-24.6424,22.2847,19.7384
5452548690,-23.9924,23.7499,19.9951
5452648348,-23.5736,21.7632,21.8715
5452748725,-24.5215,23.4571,19.7949
5452849064,-24.3293,22.7746,20.2323
5452948481,-24.5992,22.7651,20.2311
5453048751,-24.5884,20.6336,20.5062
5453149167,-25.2436,21.0099,23.3311
5453249175,-25.1197,20.5469,20.3076
5453348868,-23.5004,21.4379,18.3849
5453448690,-23.9186,21.689,20.366
5453549387,-25.0249,21.6543,19.3297
5453649587,-22.59,21.5962,20.9358
5453749387,-23.99,21.686,20.4663
5453849959,-24.113,19.4812,20.7291
5453949844,-26.1014,21.127,21.087
5454049551,-23.5427,20.7968,23.0494
5454150160,-22.3218,22.9817,20.6257
5454250023,-24.1371,22.0922,20.6698
5454350992,-24.0504,22.0287,20.1974
5454450846,-23.3905,22.0505,20.5778
5454551374,-24.4382,23.049,19.4989
5454651849,-25.4552,20.0535,20.3835
5454752004,-23.8948,21.555,19.7979
5454852218,-24.2513,22.4423,18.3385
5454952958,-24.2547,21.8836,20.2821
5455053078,-24.6875,22.5609,19.0975
5455152730,-25.1561,23.569,20.4524
5455252786,-24.1557,21.1949,21.3729
5455354004,-25.0376,22.4704,21.1547
5455453770,-23.7116,20.3895,20.5894
5455554612,-24.0643,20.7193,20.8892
5455654410,-23.9293,21.3434,20.7267
5455754988,-24.6662,22.4187,20.3065
5455854570,-24.7336,22.4774,22.0028
5455955866,-24.2133,21.8821,20.9445
5456055323,-24.5492,22.0767,20.8522
5456156212,-24.0804,21.6879,19.3342
5456257035,-23.8768,20.6632,19.5707
5456357042,-24.0886,21.1362,19.685
5456456514,-25.0698,21.3113,18.8436
5456561027,-23.7734,22.4445,21.6268
5456661297,-23.4135,22.1158,21.1426
5456761523,-23.6282,21.8393,19.8123
5456862032,-24.2877,21.9397,22.8168
5456962465,-22.7823,22.6837,22.1108
5457062353,-24.1743,19.4874,18.8595
5457162936,-23.7887,21.4866,20.5496
5457262850,-23.361,21.4356,19.9867
5457362558,-25.0181,21.8463,22.5334
5457462408,-23.5753,22.1147,20.1108
5457562926,-23.4972,20.3297,20.3021
5457663422,-23.7534,21.6295,19.6174
5457763341,-23.8516,22.0354,20.2906
5457863977,-24.7273,20.5672,18.9095
5457963313,-23.7085,21.7584,21.8708
5458063945,-24.4116,21.4704,19.2305
5458164000,-25.3695,21.7023,21.2091
5458263609,-22.4282,22.8358,21.6497
5458364153,-23.4184,21.2894,21.4803
5458464324,-23.7007,22.31,21.5284
5458564694,-22.8325,21.1779,20.3448
5458664570,-25.6021,20.674,18.8114
5458765162,-23.6586,21.2843,20.7247
5458865188,-24.6914,21.0465,19.5866
5458964557,-23.603,21.973,20.8501
5459064608,-23.3087,21.1605,20.4432
5459165002,-24.9375,20.6887,20.7845
5459265954,-24.8244,23.5036,22.3284
5459365646,-23.2447,21.7817,20.3725
5459466027,-23.1864,20.6207,19.1935
5459566355,-24.744,22.3459,20.5878
5459666855,-24.5531,20.5624,21.3414
5459766618,-23.3856,21.6384,20.5581
5459868175,-24.2657,23.1816,21.9373
5459967767,-23.6661,21.2831,20.9175
5460069168,-24.0618,22.371,20.3983
5460169387,-22.4894,22.0087,21.7021
5460273958,-23.4802,19.9117,21.6908
5460373494,-23.6119,21.0849,19.5918
5460474128,-23.9327,20.9988,20.903
5460574242,-24.4208,21.3925,21.1971
5460674936,-23.2295,22.1202,21.6129
5460774791,-24.4626,21.3939,20.5431
5460875637,-23.2132,22.6043,21.0744
5460975850,-22.6007,22.4891,20.9785
5461076234,-23.8322,19.4313,18.7572
5461177353,-24.6985,20.6403,18.1585
5461277398,-25.143,21.8508,20.5629
5461377960,-23.6814,22.1831,19.3591
5461478403,-26.5054,22.2825,20.7639
5461578328,-24.0449,21.3337,21.9501
5461679147,-24.2228,22.3013,19.3631
