# t_us, lat_deg, lon_deg, h_m, roll_deg, pitch_deg, yaw_deg, vn_mps, ve_mps, vd_mps
# MVP placeholder: this is the GNSS solution again, NOT an independent reference. roll/pitch/yaw hardcoded to 0/0/0 -- see inslib_convert_ubx_to_csv.py module docstring
5440128279,48.9598063000,8.4057011000,170.8680,0.000000,0.000000,0.000000,-0.0010,0.0010,0.0160
5440327645,48.9598063000,8.4057011000,170.8660,0.000000,0.000000,0.000000,-0.0010,-0.0040,-0.0140
5440532026,48.9598063000,8.4057011000,170.8710,0.000000,0.000000,0.000000,-0.0110,0.0030,-0.0150
5440727629,48.9598063000,8.4057011000,170.8730,0.000000,0.000000,0.000000,0.0090,0.0030,-0.0140
5440928249,48.9598063000,8.4057011000,170.8750,0.000000,0.000000,0.000000,0.0030,0.0080,-0.0100
5441130122,48.9598063000,8.4057011000,170.8750,0.000000,0.000000,0.000000,-0.0070,0.0020,0.0090
5441326979,48.9598063000,8.4057011000,170.8750,0.000000,0.000000,0.000000,0.0060,-0.0050,0.0030
5441527599,48.9598063000,8.4057011000,170.8710,0.000000,0.000000,0.000000,-0.0070,0.0030,0.0160
5441725710,48.9598063000,8.4057011000,170.8740,0.000000,0.000000,0.000000,0.0150,0.0090,-0.0140
5441927583,48.9598063000,8.4057011000,170.8750,0.000000,0.000000,0.000000,-0.0090,0.0120,-0.0060
5442126949,48.9598063000,8.4057011000,170.8760,0.000000,0.000000,0.000000,0.0110,0.0010,0.0020
5442326314,48.9598063000,8.4057011000,170.8730,0.000000,0.000000,0.000000,-0.0100,0.0060,-0.0090
5442526934,48.9598063000,8.4057011000,170.8730,0.000000,0.000000,0.000000,0.0070,-0.0020,0.0040
5442726299,48.9598063000,8.4057011000,170.8720,0.000000,0.000000,0.000000,0.0150,0.0080,0.0180
5442925664,48.9598063000,8.4057011000,170.8650,0.000000,0.000000,0.000000,0.0120,0.0030,0.0400
5443126284,48.9598063000,8.4057011000,170.8620,0.000000,0.000000,0.000000,0.0130,0.0020,0.0130
5443326903,48.9598063000,8.4057011000,170.8590,0.000000,0.000000,0.000000,0.0000,0.0050,-0.0050
5443526268,48.9598063000,8.4057011000,170.8600,0.000000,0.000000,0.000000,0.0060,-0.0030,0.0100
5443726888,48.9598063000,8.4057011000,170.8560,0.000000,0.000000,0.000000,0.0010,-0.0020,-0.0050
5443926253,48.9598063000,8.4057011000,170.8580,0.000000,0.000000,0.000000,-0.0020,0.0010,-0.0020
5444125619,48.9598063000,8.4057011000,170.8580,0.000000,0.000000,0.000000,-0.0010,0.0060,0.0090
5444326238,48.9598063000,8.4057011000,170.8540,0.000000,0.000000,0.000000,0.0060,0.0000,0.0110
5444525603,48.9598063000,8.4057011000,170.8550,0.000000,0.000000,0.000000,0.0010,-0.0070,-0.0170
5444724969,48.9598063000,8.4057011000,170.8550,0.000000,0.000000,0.000000,-0.0030,-0.0050,0.0070
5444925588,48.9598063000,8.4057011000,170.8560,0.000000,0.000000,0.000000,0.0060,0.0020,-0.0010
5445124953,48.9598063000,8.4057011000,170.8570,0.000000,0.000000,0.000000,-0.0050,0.0050,-0.0120
5445325573,48.9598063000,8.4057011000,170.8560,0.000000,0.000000,0.000000,0.0020,0.0050,0.0130
5445526192,48.9598063000,8.4057011000,170.8540,0.000000,0.000000,0.000000,0.0030,-0.0080,0.0100
5445726811,48.9598063000,8.4057010000,170.8530,0.000000,0.000000,0.000000,0.0040,-0.0020,0.0030
5445924923,48.9598062000,8.4057010000,170.8580,0.000000,0.000000,0.000000,0.0030,-0.0030,-0.0080
5446125542,48.9598062000,8.4057010000,170.8580,0.000000,0.000000,0.000000,-0.0100,0.0060,-0.0270
5446326161,48.9598062000,8.4057010000,170.8620,0.000000,0.000000,0.000000,-0.0020,0.0020,-0.0090
5446525527,48.9598062000,8.4057010000,170.8630,0.000000,0.000000,0.000000,-0.0010,0.0010,-0.0060
5446726146,48.9598062000,8.4057010000,170.8640,0.000000,0.000000,0.000000,0.0000,0.0050,-0.0060
5446925512,48.9598062000,8.4057010000,170.8660,0.000000,0.000000,0.000000,-0.0050,0.0000,-0.0180
5447126131,48.9598062000,8.4057010000,170.8670,0.000000,0.000000,0.000000,0.0020,0.0050,-0.0030
5447326750,48.9598062000,8.4057010000,170.8680,0.000000,0.000000,0.000000,-0.0100,0.0100,-0.0050
5447527369,48.9598062000,8.4057011000,170.8680,0.000000,0.000000,0.000000,0.0100,0.0150,-0.0020
5447726735,48.9598062000,8.4057011000,170.8670,0.000000,0.000000,0.000000,-0.0010,-0.0020,-0.0010
5447927354,48.9598062000,8.4057011000,170.8660,0.000000,0.000000,0.000000,0.0110,0.0000,0.0130
5448126720,48.9598062000,8.4057010000,170.8670,0.000000,0.000000,0.000000,-0.0070,-0.0050,-0.0010
5448326085,48.9598062000,8.4057010000,170.8660,0.000000,0.000000,0.000000,0.0030,0.0070,0.0020
5448527958,48.9598062000,8.4057010000,170.8630,0.000000,0.000000,0.000000,0.0060,0.0010,0.0020
5448728578,48.9598062000,8.4057010000,170.8630,0.000000,0.000000,0.000000,-0.0120,0.0000,-0.0040
5448926689,48.9598062000,8.4057010000,170.8650,0.000000,0.000000,0.000000,0.0050,0.0050,-0.0170
5449127308,48.9598062000,8.4057010000,170.8630,0.000000,0.000000,0.000000,0.0030,0.0110,0.0130
5449327928,48.9598062000,8.4057010000,170.8620,0.000000,0.000000,0.000000,-0.0030,0.0020,0.0010
5449527293,48.9598062000,8.4057010000,170.8590,0.000000,0.000000,0.000000,-0.0090,0.0080,0.0260
5449727913,48.9598062000,8.4057010000,170.8540,0.000000,0.000000,0.000000,-0.0060,0.0080,0.0000
5449928532,48.9598061000,8.4057010000,170.8540,0.000000,0.000000,0.000000,-0.0050,-0.0050,0.0180
5450130405,48.9598061000,8.4057010000,170.8540,0.000000,0.000000,0.000000,-0.0020,-0.0030,-0.0100
5450328517,48.9598061000,8.4057010000,170.8540,0.000000,0.000000,0.000000,0.0060,-0.0090,0.0050
5450527882,48.9598061000,8.4057010000,170.8530,0.000000,0.000000,0.000000,-0.0010,-0.0010,0.0120
5450728501,48.9598061000,8.4057010000,170.8490,0.000000,0.000000,0.000000,0.0020,0.0080,0.0160
5450929121,48.9598061000,8.4057010000,170.8470,0.000000,0.000000,0.000000,0.0040,-0.0030,0.0350
5451128486,48.9598062000,8.4057010000,170.8400,0.000000,0.000000,0.000000,-0.0030,-0.0040,0.0050
5451327851,48.9598061000,8.4057009000,170.8410,0.000000,0.000000,0.000000,-0.0030,0.0020,0.0090
5451528471,48.9598061000,8.4057009000,170.8410,0.000000,0.000000,0.000000,0.0030,0.0060,0.0020
5451726582,48.9598061000,8.4057010000,170.8400,0.000000,0.000000,0.000000,-0.0030,0.0070,-0.0140
5451932217,48.9598061000,8.4057010000,170.8400,0.000000,0.000000,0.000000,-0.0140,0.0090,0.0130
5452126567,48.9598061000,8.4057010000,170.8390,0.000000,0.000000,0.000000,-0.0060,-0.0010,0.0090
5452327186,48.9598061000,8.4057010000,170.8380,0.000000,0.000000,0.000000,0.0070,0.0020,0.0230
5452525298,48.9598061000,8.4057009000,170.8330,0.000000,0.000000,0.000000,-0.0110,-0.0120,0.0130
5452728425,48.9598061000,8.4057009000,170.8380,0.000000,0.000000,0.000000,-0.0020,-0.0060,-0.0340
5452927790,48.9598061000,8.4057009000,170.8420,0.000000,0.000000,0.000000,-0.0050,0.0050,-0.0260
